mean_1	cx	mut_pb	t_size	max_val
50	cxTwoPoint	0.1	2	1.94683999325
50	cxTwoPoint	0.1	4	1.9441823939
50	cxTwoPoint	0.1	6	1.94204268565
50	cxTwoPoint	0.1	8	1.94658159533
50	cxTwoPoint	0.125	2	1.9491422537
50	cxTwoPoint	0.125	4	1.94744356932
50	cxTwoPoint	0.125	6	1.94128247087
50	cxTwoPoint	0.125	8	1.9448689871
50	cxTwoPoint	0.15	2	1.94843042416
50	cxTwoPoint	0.15	4	1.94280709182
50	cxTwoPoint	0.15	6	1.94837144973
50	cxTwoPoint	0.15	8	1.94708116068
50	cxTwoPoint	0.175	2	1.95008287767
50	cxTwoPoint	0.175	4	1.94661436093
50	cxTwoPoint	0.175	6	1.95254208403
50	cxTwoPoint	0.175	8	1.94751783156
50	cxTwoPoint	0.2	2	1.94976760125
50	cxTwoPoint	0.2	4	1.94703133455
50	cxTwoPoint	0.2	6	1.94942473017
50	cxTwoPoint	0.2	8	1.94483008668
50	cxUniform	0.05	2	1.95177776047
50	cxUniform	0.05	4	1.95078519356
50	cxUniform	0.05	6	1.94988964095
50	cxUniform	0.05	8	1.9518187191
50	cxUniform	0.075	2	1.95093417489
50	cxUniform	0.075	4	1.95000378573
50	cxUniform	0.075	6	1.94828969076
50	cxUniform	0.075	8	1.94902407512
50	cxUniform	0.1	2	1.94988185004
50	cxUniform	0.1	4	1.95043615025
50	cxUniform	0.1	6	1.94952579272
50	cxUniform	0.1	8	1.94808173927
50	cxUniform	0.125	2	1.95117405975
50	cxUniform	0.125	4	1.95166174325
50	cxUniform	0.125	6	1.94597315597
50	cxUniform	0.125	8	1.94891054901
50	cxUniform	0.15	2	1.95216475085
50	cxUniform	0.15	4	1.94937501086
50	cxUniform	0.15	6	1.95005786673
50	cxUniform	0.15	8	1.95064163221
50	cxUniform	0.175	2	1.95095153579
50	cxUniform	0.175	4	1.94896658883
50	cxUniform	0.175	6	1.94879732724
50	cxUniform	0.175	8	1.9495937315
50	cxUniform	0.2	2	1.95091697489
50	cxUniform	0.2	4	1.95093907503
50	cxUniform	0.2	6	1.94846233108
50	cxUniform	0.2	8	1.94652490504
60	cxOnePoint	0.05	2	1.94730094
60	cxOnePoint	0.05	4	1.94541758562
60	cxOnePoint	0.05	6	1.93706002497
60	cxOnePoint	0.05	8	1.93474794632
60	cxOnePoint	0.075	2	1.94454378424
60	cxOnePoint	0.075	4	1.94787007046
60	cxOnePoint	0.075	6	1.9381297264
60	cxOnePoint	0.075	8	1.94492314259
60	cxOnePoint	0.1	2	1.94392329369
60	cxOnePoint	0.1	4	1.94634266584
60	cxOnePoint	0.1	6	1.94849471456
60	cxOnePoint	0.1	8	1.94274207236
60	cxOnePoint	0.125	2	1.94360391237
60	cxOnePoint	0.125	4	1.94722457841
60	cxOnePoint	0.125	6	1.94422903048
60	cxOnePoint	0.125	8	1.94444781785
60	cxOnePoint	0.15	2	1.94492846379
60	cxOnePoint	0.15	4	1.9454805045
60	cxOnePoint	0.15	6	1.94338929696
60	cxOnePoint	0.15	8	1.9445145064
60	cxOnePoint	0.175	2	1.94992914371
60	cxOnePoint	0.175	4	1.94532441561
60	cxOnePoint	0.175	6	1.94395852259
60	cxOnePoint	0.175	8	1.93829559818
60	cxOnePoint	0.2	2	1.94562691619
60	cxOnePoint	0.2	4	1.94579921782
60	cxOnePoint	0.2	6	1.94390209028
60	cxOnePoint	0.2	8	1.94614221456
60	cxTwoPoint	0.05	2	1.9463363741
60	cxTwoPoint	0.05	4	1.94224803035
60	cxTwoPoint	0.05	6	1.94496066397
60	cxTwoPoint	0.05	8	1.93899686078
60	cxTwoPoint	0.075	2	1.94516015269
60	cxTwoPoint	0.075	4	1.94422668436
60	cxTwoPoint	0.075	6	1.94729988647
60	cxTwoPoint	0.075	8	1.93664647
60	cxTwoPoint	0.1	2	1.9451003501
60	cxTwoPoint	0.1	4	1.94234375097
60	cxTwoPoint	0.1	6	1.94587003512
60	cxTwoPoint	0.1	8	1.94481830768
60	cxTwoPoint	0.125	2	1.94707273638
60	cxTwoPoint	0.125	4	1.94766454185
60	cxTwoPoint	0.125	6	1.95008979926
60	cxTwoPoint	0.125	8	1.94940671041
60	cxTwoPoint	0.15	2	1.94945146373
60	cxTwoPoint	0.15	4	1.94309441249
60	cxTwoPoint	0.15	6	1.94584840207
60	cxTwoPoint	0.15	8	1.94218177978
60	cxTwoPoint	0.175	2	1.94615945095
60	cxTwoPoint	0.175	4	1.94054847975
60	cxTwoPoint	0.175	6	1.94098338484
60	cxTwoPoint	0.175	8	1.94663853392
60	cxTwoPoint	0.2	2	1.94604431276
60	cxTwoPoint	0.2	4	1.94695689924
60	cxTwoPoint	0.2	6	1.94528916296
60	cxTwoPoint	0.2	8	1.94094186967
60	cxUniform	0.05	2	1.95000684443
60	cxUniform	0.05	4	1.94597442181
60	cxUniform	0.05	6	1.94745751975
60	cxUniform	0.05	8	1.9421715028
60	cxUniform	0.075	2	1.9476064344
60	cxUniform	0.075	4	1.94979771633
